Order ID,Sales,Profit,City,State,Customer Segment,Product Category
3,261.54,-213.25,Highland Park,Illinois,Small Business,Office Supplies
6,6.93,-4.64,Edmonds,Washington,Corporate,Office Supplies
32,2808.08,1054.82,Elk Plain,Washington,Corporate,Furniture
32,1761.4,-1748.56,Elk Plain,Washington,Corporate,Furniture
32,160.2335,-85.13,Elk Plain,Washington,Corporate,Technology
32,140.56,-128.38,High Point,North Carolina,Corporate,Technology
35,288.56,60.72,Ames,Iowa,Corporate,Office Supplies
35,1892.848,48.99,Ames,Iowa,Corporate,Technology
36,2484.7455,657.48,Albany,Oregon,Home Office,Technology
65,3812.73,1470.30,Pflugerville,Texas,Corporate,Technology
66,108.15,7.57,Santa Fe,New Mexico,Consumer,Office Supplies
69,1186.06,511.69,Garner,North Carolina,Corporate,Furniture
69,51.53,0.35,Garner,North Carolina,Corporate,Office Supplies
70,90.05,-107.00,East Meadow,New York,Home Office,Office Supplies
70,7804.53,2057.17,East Meadow,New York,Home Office,Technology
96,4158.1235,1228.89,Little Rock,Arkansas,Home Office,Technology
97,75.57,28.24,Prescott Valley,Arizona,Consumer,Office Supplies
129,32.72,-22.59,Moore,Oklahoma,Corporate,Office Supplies
130,461.89,-309.82,Cleveland,Tennessee,Corporate,Technology
130,575.11,71.75,Cleveland,Tennessee,Corporate,Office Supplies
130,236.46,-134.31,Cleveland,Tennessee,Corporate,Office Supplies
132,192.814,-86.20,Avenel,New Jersey,Consumer,Technology
132,4011.65,-603.80,Lewiston,Maine,Consumer,Furniture
134,1132.6,-310.21,Brookfield,Wisconsin,Home Office,Office Supplies
135,125.85,-89.25,Troy,New York,Consumer,Technology
166,567.936,-126.09,Tamarac,Florida,Consumer,Technology
193,174.89,-37.04,Bethpage,New York,Consumer,Office Supplies
194,329.03,-197.25,West Linn,Oregon,Corporate,Furniture
194,20.19,-13.44,West Linn,Oregon,Corporate,Office Supplies
195,1315.74,260.87,Long Beach,California,Home Office,Office Supplies
197,310.52,33.22,Miramar,Florida,Home Office,Office Supplies
224,184.86,-33.95,Lemon Grove,California,Corporate,Furniture
224,267.85,-65.43,Lemon Grove,California,Corporate,Office Supplies
224,528.5,-149.92,Lemon Grove,California,Corporate,Office Supplies
225,126.58,18.27,Holbrook,New York,Home Office,Office Supplies
